Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 02/01/2002 / Data final: 02/01/2012.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
02/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
01/09/2011;11,91;1,00044663;0;0;0;0;0;0;0;
31/08/2011;12,41;1,00046432;0;0;0;0;0;0;0;
30/08/2011;12,41;1,00046432;0;0;0;0;0;0;0;
29/08/2011;12,41;1,00046432;0;0;0;0;0;0;0;
26/08/2011;12,41;1,00046432;0;0;0;0;0;0;0;
25/08/2011;12,41;1,00046432;0;0;0;0;0;0;0;
24/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
23/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
22/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
19/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
18/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
17/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
16/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
15/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
12/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
11/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
10/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
09/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
08/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
05/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
04/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
03/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
02/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
01/08/2011;12,42;1,00046468;0;0;0;0;0;0;0;
29/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
28/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
27/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
26/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
25/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
22/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
21/07/2011;12,42;1,00046468;0;0;0;0;0;0;0;
20/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
19/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
18/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
15/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
14/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
13/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
12/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
11/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
08/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
07/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
06/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
05/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
04/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
01/07/2011;12,17;1,00045584;0;0;0;0;0;0;0;
30/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
29/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
28/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
27/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
24/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
